,date,open,close,high,low,volume,code
342,2018-05-31,5.178,5.178,5.207,5.149,105665.0,600642
343,2018-06-01,5.178,5.207,5.246,5.149,82223.0,600642
344,2018-06-04,5.207,5.226,5.236,5.169,61354.0,600642
345,2018-06-05,5.207,5.265,5.275,5.198,60728.0,600642
346,2018-06-06,5.255,5.284,5.303,5.226,68978.0,600642
347,2018-06-07,5.284,5.265,5.303,5.265,72344.0,600642
348,2018-06-08,5.265,5.255,5.275,5.217,85094.0,600642
349,2018-06-11,5.236,5.207,5.275,5.178,49219.0,600642
350,2018-06-12,5.217,5.217,5.246,5.198,40700.0,600642
351,2018-06-13,5.217,5.198,5.236,5.188,34926.0,600642
352,2018-06-14,5.198,5.188,5.226,5.188,32696.0,600642
353,2018-06-15,5.198,5.159,5.217,5.13,59512.0,600642
354,2018-06-19,5.14,4.918,5.14,4.832,131435.0,600642
355,2018-06-20,4.89,4.89,4.938,4.841,77660.0,600642
356,2018-06-21,4.899,4.822,4.928,4.813,55252.0,600642
357,2018-06-22,4.841,4.841,4.841,4.793,51608.0,600642
358,2018-06-25,4.861,4.803,4.87,4.774,60818.0,600642
359,2018-06-26,4.793,4.803,4.822,4.745,50648.0,600642
360,2018-06-27,4.813,4.764,4.822,4.764,44063.0,600642
361,2018-06-28,4.764,4.784,4.822,4.755,36828.0,600642
362,2018-06-29,4.793,4.832,4.851,4.774,46016.0,600642
